AAM2019	0.0028	0.0024	0.9763	0.0010	0.0175
AAM2002	0.0051	0.0087	0.9106	0.0012	0.0744
AAM2048	0.0163	0.9589	0.0085	0.0046	0.0117
AAM3030	0.1817	0.4658	0.2698	0.0051	0.0776
AAM2214	0.0279	0.9313	0.0046	0.0064	0.0298
AAM2213	0.0491	0.8988	0.0044	0.0273	0.0204
AAM2029	0.0020	0.0078	0.9417	0.0015	0.0470
AAM2039	0.0103	0.9661	0.0095	0.0063	0.0078
AAM2021	0.0013	0.0025	0.9784	0.0010	0.0168
AAM2171	0.0392	0.9114	0.0169	0.0045	0.0280
AAM2146	0.0053	0.0030	0.9275	0.0039	0.0603
AAM3186	0.0175	0.0090	0.0890	0.3980	0.4865
AAM2031	0.0289	0.6974	0.2310	0.0073	0.0354
AAM3069	0.0240	0.0054	0.1022	0.0412	0.8272
AAM3430	0.0285	0.0272	0.0924	0.7868	0.0652
AAM3143	0.0706	0.0128	0.0176	0.0021	0.8969
AAM2161	0.0035	0.0643	0.0053	0.0068	0.9202
AAM3181	0.9435	0.0199	0.0100	0.0030	0.0236
AAM2141	0.0606	0.0133	0.0759	0.0176	0.8326
AAM2015	0.0047	0.0050	0.3730	0.0010	0.6163
AAM2166	0.0253	0.0103	0.0111	0.0042	0.9491
AAM2087	0.0022	0.0043	0.9634	0.0043	0.0258
AAM2053	0.0276	0.6276	0.0789	0.1681	0.0978
AAM2084	0.0010	0.0015	0.9855	0.0010	0.0110
AAM2103	0.0031	0.0059	0.0048	0.9811	0.0051
AAM2157	0.0036	0.0274	0.0108	0.0041	0.9541
AAM2038	0.0158	0.9465	0.0080	0.0050	0.0247
AAM2209	0.4348	0.0359	0.0107	0.0021	0.5164
AAM2009	0.0015	0.0022	0.3521	0.0010	0.6432
AAM3185	0.0431	0.0096	0.0999	0.8217	0.0257
AAM2178	0.0164	0.9686	0.0033	0.0026	0.0091
AAM3405	0.0059	0.0122	0.9369	0.0034	0.0416
AAM2197	0.1102	0.0069	0.0085	0.0023	0.8721
AAM2005	0.0029	0.0354	0.5156	0.1417	0.3044
AAM2205	0.8241	0.0094	0.0246	0.0048	0.1371
AAM2102	0.1419	0.0069	0.0084	0.0020	0.8408
AAM2057	0.0050	0.9812	0.0030	0.0059	0.0049
AAM3074	0.0100	0.0077	0.0429	0.0348	0.9046
AAM2032	0.0266	0.0497	0.0973	0.0031	0.8233
AAM2085	0.0010	0.0010	0.9797	0.0010	0.0173
AAM2036	0.0222	0.8234	0.1174	0.0145	0.0225
AAM3034	0.4645	0.3381	0.1336	0.0140	0.0498
AAM3193	0.0677	0.0654	0.1069	0.2955	0.4645
AAM2089	0.0057	0.0059	0.2201	0.0011	0.7672
AAM2099	0.5213	0.0079	0.0149	0.0033	0.4526
AAM2046	0.0080	0.9708	0.0084	0.0045	0.0083
AAM2191	0.0124	0.0072	0.0938	0.0021	0.8845
AAM2120	0.0011	0.0024	0.0036	0.9911	0.0018
AAM2088	0.0042	0.0164	0.3508	0.0014	0.6272
AAM2058	0.0384	0.9383	0.0073	0.0049	0.0111
AAM2105	0.0008	0.0017	0.0017	0.9941	0.0017
AAM2020	0.0013	0.0020	0.9709	0.0010	0.0248
AAM2188	0.0020	0.0047	0.9591	0.0010	0.0332
AAM2160	0.0035	0.0207	0.0093	0.0070	0.9595
AAM2194	0.0516	0.0035	0.8444	0.0030	0.0975
AAM2198	0.0767	0.0072	0.0142	0.0015	0.9004
AAM3041	0.0060	0.0085	0.7194	0.0055	0.2606
AAM2083	0.0010	0.0010	0.9798	0.0010	0.0172
AAM2043	0.0091	0.9737	0.0062	0.0038	0.0072
AAM2045	0.0053	0.9820	0.0033	0.0030	0.0064
AAM3432	0.0400	0.0048	0.0313	0.8961	0.0278
AAM2023	0.0034	0.0022	0.9244	0.0011	0.0689
AAM2017	0.0016	0.0019	0.9435	0.0016	0.0514
AAM2212	0.4841	0.4515	0.0065	0.0110	0.0469
AAM2064	0.0047	0.9772	0.0043	0.0024	0.0114
AAM3248	0.0056	0.9690	0.0067	0.0061	0.0126
AAM2196	0.0345	0.0077	0.0215	0.0077	0.9286
AAM2030	0.0260	0.0138	0.8511	0.0430	0.0661
AAM3431	0.0298	0.0035	0.1075	0.6873	0.1719
AAM2192	0.0077	0.0040	0.1415	0.0020	0.8448
AAM2065	0.0041	0.9819	0.0022	0.0048	0.0070
AAM2068	0.0063	0.9825	0.0021	0.0032	0.0059
AAM2110	0.1268	0.0069	0.0142	0.0021	0.8500
AAM2016	0.0036	0.0010	0.9650	0.0014	0.0290
AAM2013	0.0024	0.0025	0.6344	0.0019	0.3588
AAM2122	0.0008	0.0017	0.0018	0.9938	0.0019
AAM2165	0.0311	0.0122	0.0111	0.0036	0.9420
AAM2024	0.0019	0.0020	0.9661	0.0010	0.0290
AAM2060	0.0280	0.9423	0.0127	0.0094	0.0076
AAM2133	0.7322	0.0255	0.1108	0.0327	0.0989
AAM2206	0.9725	0.0046	0.0061	0.0037	0.0131
