"","AAMID","A1_BT","A2_NW","A3_SE","A4_NE_WC","A5_NC_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","A1","A2","A3","A4","A5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"1","AAM4002",0.017,0.005,0.005,0.024,0.949,"NW",122.6297,0.8041,0.004,0.9874,0.003,0.0026,0.003,"NW",122.6297,0.8041
"2","AAM4003",0.747,0.063,0.054,0.098,0.038,"BT",122.75,-5.5,NA,NA,NA,NA,NA,NA,NA,NA
"3","AAM4004",0.011,0.009,0.149,0.115,0.716,"WC",120.0493,-1.3287,0.0174,0.9638,0.0065,0.0044,0.0079,"WC",120.0493,-1.3287
"4","AAM4005",0.005,0.245,0.048,0.026,0.676,"WC",119.98,-1.825,0.004,0.9839,0.0061,0.003,0.003,"WC",119.98,-1.825
"5","AAM4006",0.008,0.015,0.402,0.067,0.508,"WC",119.95,-1.73,0.004,0.9823,0.0057,0.003,0.005,"WC",119.95,-1.73
"6","AAM4007",0.009,0.138,0.016,0.789,0.048,"WC",119.78,-1.65,0.004,0.943,0.0222,0.0258,0.005,"WC",119.78,-1.65
"7","AAM4008",0.008,0.01,0.037,0.748,0.198,"WC",119.79,-1.67,0.0063,0.9809,0.005,0.003,0.0048,"WC",119.79,-1.67
"8","AAM4009",0.018,0.005,0.14,0.174,0.663,"NE",124.57,0.68,0.003,0.9879,0.003,0.003,0.0031,"NE",124.57,0.68
"9","AAM4010",0.006,0.005,0.457,0.082,0.45,"NE",124.57,0.68,0.0033,0.9859,0.005,0.0028,0.003,"NE",124.57,0.68
"10","AAM4011",0.012,0.005,0.008,0.553,0.421,"NE",124.57,0.68,0.003,0.987,0.003,0.004,0.003,"NE",124.57,0.68
"11","AAM4012",0.017,0.009,0.014,0.684,0.276,"NE",124.57,0.68,0.0093,0.971,0.0051,0.0076,0.007,"NE",124.57,0.68
"12","AAM4013",0.011,0.012,0.013,0.917,0.047,"NE",124.39,0.71,0.003,0.986,0.004,0.004,0.003,"NE",124.39,0.71
"13","AAM4014",0.005,0.076,0.03,0.622,0.267,"NE",124.39,0.71,0.003,0.983,0.006,0.005,0.003,"NE",124.39,0.71
"14","AAM4015",0.021,0.011,0.008,0.936,0.024,"NW",122.57,0.87,0.003,0.985,0.004,0.005,0.003,"NW",122.57,0.87
"15","AAM4116",0.033,0.01,0.031,0.013,0.912,"NW",121.795,0.6737,NA,NA,NA,NA,NA,NA,NA,NA
"16","AAM4139",0.021,0.106,0.022,0.401,0.45,"NW",121.795,0.6737,NA,NA,NA,NA,NA,NA,NA,NA
"17","AAM4176",0.011,0.04,0.008,0.024,0.917,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"18","AAM4182",0.015,0.01,0.021,0.91,0.045,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"19","AAM4183",0.029,0.057,0.059,0.692,0.163,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"20","AAM4186",0.01,0.005,0.007,0.943,0.035,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"21","AAM4187",0.033,0.015,0.36,0.555,0.037,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"22","AAM4188",0.006,0.036,0.006,0.939,0.013,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"23","AAM4189",0.007,0.024,0.006,0.957,0.007,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"24","AAM4190",0.007,0.008,0.078,0.893,0.014,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"25","AAM4191",0.006,0.009,0.005,0.97,0.01,"WC",119.86,-0.898,NA,NA,NA,NA,NA,NA,NA,NA
"26","AAM4202",0.976,0.005,0.006,0.007,0.006,"BT",122.8164369,-5.25802985,0.0028,0.7431,0.0039,0.2458,0.0044,"BT",122.8164369,-5.25802985
"27","AAM4203",0.99,0.002,0.003,0.003,0.002,"BT",122.9436369,-4.80574085,0.002,0.002,0.002,0.992,0.002,"BT",122.9436369,-4.80574085
"28","AAM4204",0.989,0.003,0.003,0.003,0.002,"BT",123.1047569,-5.26225685,0.002,0.002,0.0024,0.9916,0.002,"BT",123.1047569,-5.26225685
"29","AAM4205",0.99,0.002,0.003,0.003,0.002,"BT",123.1047569,-5.26225685,0.002,0.002,0.002,0.992,0.002,"BT",123.1047569,-5.26225685
"30","AAM4206",0.989,0.002,0.003,0.003,0.002,"BT",123.1047569,-5.26225685,0.002,0.002,0.002,0.9912,0.0028,"BT",123.1047569,-5.26225685
"31","AAM4207",0.966,0.002,0.013,0.005,0.014,"BT",122.8800369,-4.87337285,0.002,0.0029,0.0057,0.9844,0.005,"BT",122.8800369,-4.87337285
"32","AAM4208",0.987,0.002,0.004,0.004,0.003,"BT",122.9436369,-4.80574085,0.002,0.002,0.003,0.99,0.003,"BT",122.9436369,-4.80574085
"33","AAM4209",0.986,0.002,0.003,0.005,0.004,"BT",122.8164369,-5.25802985,0.002,0.002,0.0029,0.9894,0.0037,"BT",122.8164369,-5.25802985
"34","AAM4210",0.978,0.003,0.005,0.005,0.008,"BT",122.8800369,-4.87337285,0.003,0.002,0.003,0.9873,0.0047,"BT",122.8800369,-4.87337285
"35","AAM4211",0.962,0.004,0.024,0.005,0.005,"BT",122.93,-5.15,0.004,0.003,0.0094,0.9796,0.004,"BT",122.93,-5.15
"36","AAM4212",0.989,0.002,0.003,0.002,0.002,"BT",122.77,-5.33,0.002,0.3273,0.0034,0.6623,0.005,"BT",122.77,-5.33
"37","AAM4213",0.988,0.003,0.004,0.003,0.002,"BT",122.8800369,-4.87337285,0.0023,0.002,0.003,0.9907,0.002,"BT",122.8800369,-4.87337285
"38","AAM4214",0.989,0.003,0.004,0.003,0.002,"BT",122.9436369,-4.91141585,0.002,0.002,0.003,0.991,0.002,"BT",122.9436369,-4.91141585
"39","AAM4215",0.983,0.004,0.004,0.006,0.003,"BT",122.8164369,-5.25802985,0.003,0.002,0.003,0.987,0.005,"BT",122.8164369,-5.25802985
"40","AAM4216",0.952,0.011,0.006,0.017,0.014,"BT",122.8164369,-5.25802985,0.0039,0.8344,0.002,0.1577,0.002,"BT",122.8164369,-5.25802985
"41","AAM4217",0.888,0.002,0.004,0.087,0.018,"BT",122.8800369,-4.87337285,0.002,0.002,0.003,0.9845,0.0085,"BT",122.8800369,-4.87337285
"42","AAM4218",0.988,0.002,0.003,0.003,0.003,"BT",122.75,-5.5,NA,NA,NA,NA,NA,NA,NA,NA
"43","AAM4219",0.96,0.005,0.025,0.005,0.004,"BT",122.8757969,-5.11431185,0.005,0.003,0.0105,0.9765,0.005,"BT",122.8757969,-5.11431185
"44","AAM4220",0.988,0.002,0.005,0.002,0.003,"BT",122.9436369,-4.91141585,0.002,0.002,0.004,0.99,0.002,"BT",122.9436369,-4.91141585
"45","AAM4221",0.99,0.002,0.004,0.002,0.002,"BT",122.8164369,-5.25802985,0.0019,0.002,0.003,0.9911,0.002,"BT",122.8164369,-5.25802985
"46","AAM4222",0.975,0.006,0.01,0.004,0.005,"BT",123.112793,-4.647605,0.0051,0.0045,0.0082,0.9785,0.0037,"BT",123.112793,-4.647605
"47","AAM4223",0.839,0.004,0.136,0.009,0.012,"BT",122.5538889,-4.8547222,0.004,0.007,0.0264,0.9567,0.0059,"BT",122.5538889,-4.8547222
"48","AAM4224",0.357,0.135,0.197,0.038,0.273,"BT",123.12,-5.25,0.1391,0.032,0.0989,0.4641,0.266,"BT",123.12,-5.25
"49","AAM4225",0.599,0.003,0.372,0.005,0.021,"BT",122.8757969,-5.11431185,0.0033,0.9203,0.005,0.0668,0.0046,"BT",122.8757969,-5.11431185
"50","AAM4226",0.503,0.435,0.007,0.045,0.009,"BT",122.93,-5.15,0.4506,0.004,0.0057,0.4996,0.04,"BT",122.93,-5.15
"51","AAM4227",0.987,0.002,0.003,0.005,0.003,"BT",122.9436369,-4.80574085,0.002,0.002,0.002,0.9902,0.0038,"BT",122.9436369,-4.80574085
"52","AAM4228",0.93,0.002,0.051,0.009,0.007,"BT",122.9436369,-4.91141585,0.002,0.003,0.006,0.983,0.006,"BT",122.9436369,-4.91141585
"53","AAM4229",0.939,0.003,0.009,0.03,0.02,"BT",122.9436369,-4.80574085,0.0024,0.004,0.004,0.9808,0.0088,"BT",122.9436369,-4.80574085
"54","AAM4230",0.872,0.014,0.047,0.022,0.045,"BT",122.8800369,-4.87337285,0.0098,0.007,0.0311,0.9384,0.0137,"BT",122.8800369,-4.87337285
"55","AAM4231",0.767,0.002,0.121,0.039,0.072,"BT",122.9436369,-4.91141585,0.0019,0.9496,0.005,0.0395,0.004,"BT",122.9436369,-4.91141585
"56","AAM4232",0.919,0.002,0.048,0.022,0.009,"BT",122.9436369,-4.80574085,0.002,0.0028,0.0136,0.9766,0.005,"BT",122.9436369,-4.80574085
"57","AAM4233",0.973,0.003,0.006,0.01,0.008,"BT",122.8757969,-5.11431185,0.002,0.003,0.0032,0.9859,0.0059,"BT",122.8757969,-5.11431185
"58","AAM4234",0.874,0.053,0.014,0.051,0.008,"BT",123.1047569,-5.26225685,0.0275,0.004,0.007,0.9333,0.0282,"BT",123.1047569,-5.26225685
"59","AAM4235",0.987,0.003,0.004,0.003,0.003,"BT",122.8757969,-5.11431185,0.002,0.002,0.003,0.9906,0.0024,"BT",122.8757969,-5.11431185
"60","AAM4236",0.99,0.002,0.003,0.002,0.002,"BT",122.8757969,-5.11431185,0.0014,0.002,0.003,0.9916,0.002,"BT",122.8757969,-5.11431185
"61","AAM4237",0.988,0.002,0.004,0.003,0.003,"BT",123.1047569,-5.26225685,0.002,0.002,0.0028,0.9902,0.003,"BT",123.1047569,-5.26225685
"62","AAM4238",0.931,0.005,0.007,0.042,0.016,"BT",123.1047569,-5.26225685,0.0042,0.004,0.004,0.9828,0.005,"BT",123.1047569,-5.26225685
"63","AAM4239",0.986,0.004,0.004,0.003,0.003,"BT",122.9436369,-4.80574085,0.003,0.002,0.0026,0.99,0.0024,"BT",122.9436369,-4.80574085
"64","AAM4240",0.984,0.005,0.004,0.004,0.003,"BT",122.8164369,-5.25802985,0.004,0.002,0.0036,0.9875,0.0029,"BT",122.8164369,-5.25802985
"65","AAM4241",0.014,0.015,0.097,0.239,0.634,"NW",119.857778,-0.708611,0.006,0.9745,0.0085,0.004,0.007,"NW",119.857778,-0.708611
"66","AAM4242",0.078,0.258,0.006,0.029,0.629,"WC",119.7169969,-0.83236085,0.4474,0.0052,0.007,0.1132,0.4273,"WC",119.7169969,-0.83236085
"67","AAM4243",0.006,0.174,0.152,0.584,0.084,"WC",119.9,-1.65,0.008,0.9603,0.014,0.002,0.0157,"WC",119.9,-1.65
"68","AAM4244",0.038,0.004,0.146,0.796,0.015,"WC",120.151978,-1.257834,0.0048,0.004,0.1588,0.0535,0.7789,"WC",120.151978,-1.257834
"69","AAM4245",0.054,0.006,0.021,0.914,0.005,"WC",120.151978,-1.257834,0.0111,0.003,0.0424,0.1398,0.8037,"WC",120.151978,-1.257834
"70","AAM4246",0.015,0.009,0.005,0.964,0.007,"WC",120.217896,-1.400617,0.0096,0.0032,0.0051,0.0245,0.9576,"WC",120.217896,-1.400617
"71","AAM4247",0.003,0.009,0.03,0.931,0.027,"WC",120.217896,-1.400617,0.0098,0.002,0.0089,0.003,0.9763,"WC",120.217896,-1.400617
"72","AAM4248",0.007,0.041,0.011,0.933,0.009,"WC",120.097046,-1.741065,0.0563,0.003,0.0087,0.009,0.923,"WC",120.097046,-1.741065
"73","AAM4250",0.008,0.003,0.232,0.625,0.131,"NW",119.8569169,-0.46038485,0.0042,0.0039,0.212,0.0112,0.7687,"NW",119.8569169,-0.46038485
"74","AAM4251",0.005,0.009,0.004,0.954,0.027,"WC",119.7085169,-0.97607885,0.0079,0.0022,0.003,0.0056,0.9813,"WC",119.7085169,-0.97607885
"75","AAM4252",0.003,0.006,0.007,0.931,0.052,"NW",119.8526769,-0.55337885,0.0072,0.0039,0.005,0.0035,0.9804,"NW",119.8526769,-0.55337885
"76","AAM4253",0.129,0.002,0.027,0.836,0.006,"NW",119.9841169,-0.43924985,0.002,0.002,0.0217,0.216,0.7583,"NW",119.9841169,-0.43924985
"77","AAM4254",0.002,0.007,0.006,0.963,0.021,"WC",120.151978,-1.257834,0.0089,0.0032,0.0073,0.002,0.9786,"WC",120.151978,-1.257834
"78","AAM4255",0.004,0.034,0.01,0.569,0.383,"NW",119.816895,-0.230712,0.0145,0.003,0.0062,0.0039,0.9724,"NW",119.816895,-0.230712
"79","AAM4256",0.007,0.026,0.012,0.009,0.946,"WC",120.217896,-1.400617,0.1732,0.0062,0.1401,0.0176,0.6628,"WC",120.217896,-1.400617
"80","AAM4258",0.003,0.027,0.004,0.942,0.024,"WC",120.3113,-1.6171,0.0261,0.002,0.003,0.0028,0.9661,"WC",120.3113,-1.6171
"81","AAM4260",0.009,0.012,0.011,0.41,0.559,"WC",120.031128,-1.741065,0.006,0.006,0.0058,0.0059,0.9763,"WC",120.031128,-1.741065
"82","AAM4261",0.004,0.029,0.013,0.502,0.453,"WC",120.217896,-1.400617,0.0109,0.003,0.0048,0.003,0.9783,"WC",120.217896,-1.400617
"83","AAM4262",0.003,0.005,0.005,0.632,0.355,"WC",120.031128,-1.741065,0.0066,0.003,0.0034,0.003,0.984,"WC",120.031128,-1.741065
"84","AAM4263",0.005,0.006,0.008,0.947,0.034,"WC",120.031128,-1.741065,0.0044,0.003,0.006,0.005,0.9816,"WC",120.031128,-1.741065
"85","AAM4264",0.006,0.004,0.004,0.976,0.011,"WC",120.151978,-1.257834,0.0052,0.861,0.0041,0.003,0.1267,"WC",120.151978,-1.257834
"86","AAM4265",0.007,0.005,0.008,0.974,0.006,"WC",120.151978,-1.257834,0.0056,0.003,0.005,0.0098,0.9766,"WC",120.151978,-1.257834
"87","AAM4266",0.005,0.003,0.021,0.958,0.013,"WC",120.151978,-1.257834,0.003,0.0048,0.0112,0.008,0.973,"WC",120.151978,-1.257834
"88","AAM4267",0.025,0.003,0.006,0.961,0.005,"WC",120.217896,-1.34021,0.003,0.003,0.0047,0.0823,0.907,"WC",120.217896,-1.34021
"89","AAM4268",0.007,0.005,0.047,0.93,0.011,"WC",120.097046,-1.741065,0.0077,0.003,0.0359,0.0101,0.9434,"WC",120.097046,-1.741065
"90","AAM4269",0.003,0.006,0.003,0.981,0.006,"WC",120.217896,-1.400617,0.005,0.003,0.003,0.003,0.986,"WC",120.217896,-1.400617
"91","AAM4270",0.004,0.012,0.006,0.965,0.013,"WC",120.217896,-1.400617,0.019,0.004,0.0075,0.0057,0.9638,"WC",120.217896,-1.400617
"92","AAM4271",0.004,0.003,0.006,0.979,0.008,"WC",120.217896,-1.400617,0.0033,0.003,0.0043,0.0063,0.9831,"WC",120.217896,-1.400617
"93","AAM4272",0.004,0.01,0.003,0.978,0.005,"WC",120.217896,-1.34021,0.0082,0.0021,0.002,0.005,0.9827,"WC",120.217896,-1.34021
"94","AAM4273",0.004,0.01,0.003,0.977,0.005,"WC",120.217896,-1.34021,0.0085,0.002,0.002,0.005,0.9825,"WC",120.217896,-1.34021
"95","AAM4274",0.005,0.008,0.004,0.973,0.009,"WC",120.217896,-1.34021,0.0067,0.003,0.003,0.005,0.9823,"WC",120.217896,-1.34021
"96","AAM4275",0.004,0.007,0.004,0.978,0.007,"WC",120.217896,-1.34021,0.0074,0.003,0.003,0.0056,0.981,"WC",120.217896,-1.34021
"97","AAM4276",0.5,0.011,0.014,0.463,0.011,"WC",120.217896,-1.34021,0.0393,0.003,0.0074,0.6395,0.3108,"WC",120.217896,-1.34021
