"","AAMID","B1_WC_NW","B2_SE","B3_SU_BU","B4_NE","B5_TO","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","B1","B2","B3","B4","B5","B6","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"1","AAM0132",0,0,0,1,0,"NE",125.233,1.46,0.0099,0.9642,0.0079,0.0049,0.005,0.0081,"NE",125.233,1.46
"2","AAM0308",0,0,0,1,0,"NE",124.57,0.68,0.002,0.9868,0.0041,0.002,0.0031,0.002,"NE",124.57,0.68
"3","AAM0309",0,0,0,1,0,"NE",124.57,0.68,0.0021,0.9891,0.002,0.002,0.002,0.0028,"NE",124.57,0.68
"4","AAM0310",0,0,0,1,0,"NE",124.57,0.68,0.003,0.9858,0.0022,0.003,0.003,0.003,"NE",124.57,0.68
"5","AAM0313",0.993,0.007,0,0,0,"WC",119.84,-0.69,0.0067,0.0113,0.0061,0.0256,0.0081,0.9422,"WC",119.84,-0.69
"6","AAM0317",0,0,0,1,0,"NE",124.55,0.66,0.003,0.9797,0.004,0.0052,0.0051,0.003,"NE",124.55,0.66
"7","AAM0322",0,0,0,1,0,"NE",124.16,0.94,0.0036,0.9367,0.0465,0.0053,0.0049,0.003,"NE",124.16,0.94
"8","AAM0323",0,0,0,1,0,"NE",124.16,0.94,0.004,0.9713,0.0116,0.0071,0.004,0.002,"NE",124.16,0.94
"9","AAM0325",1,0,0,0,0,"NW",121.95,1.05,0.1585,0.1767,0.0261,0.6213,0.0123,0.005,"NW",121.95,1.05
"10","AAM0326",0,0.002,0,0.998,0,"NW",121.95,1.05,0.0205,0.4867,0.0206,0.0113,0.2696,0.1914,"NW",121.95,1.05
"11","AAM0329",0,0,0,1,0,"NE",125,1.57,0.003,0.9836,0.0039,0.0035,0.004,0.002,"NE",125,1.57
"12","AAM0331",0,0,0,1,0,"NE",125,1.57,0.0375,0.8994,0.0144,0.0151,0.0244,0.0092,"NE",125,1.57
"13","AAM0332",0,0,0,1,0,"NE",124.55,0.66,0.003,0.9846,0.003,0.003,0.0025,0.0039,"NE",124.55,0.66
