"","AAMID","S1_NW","S2_PE","S3.x","S4_SE_BT","S5_WC_SW","S6_BU","S7_EC","Loc_Abbrev_LF.x","Longitude.x","Latitude.x","S1","S2","S3.y","S4","S5","Loc_Abbrev_LF.y","Longitude.y","Latitude.y"
"1","AAM2001",1,0,0,0,0.043,0,0,"WC",120.13,0.15,0.001,0.0053,0.9463,0.001,0.0464,"WC",120.13,0.15
"2","AAM2002",1,0,0,0,0.018,0,0.009,"WC",120.13,0.15,0.0051,0.0087,0.9106,0.0012,0.0744,"WC",120.13,0.15
"3","AAM2003",0,0,0,0.028,0.971,0,0.001,"WC",120.065,-0.054,0.0051,0.0782,0.3275,0.005,0.5842,"WC",120.065,-0.054
"4","AAM2004",1,0,0,0,0,0,0,"NW",120.88,0.91,0.0018,0.0097,0.9539,0.001,0.0336,"NW",120.88,0.91
"5","AAM2005",0.016,0,0.007,0.002,0.567,0,0.408,"WC",120.47,0.78,0.0029,0.0354,0.5156,0.1417,0.3044,"WC",120.47,0.78
"6","AAM2006",0,0,0,0,0.969,0,0.031,"WC",119.81,-0.21,0.0051,0.006,0.1427,0.001,0.8452,"WC",119.81,-0.21
"7","AAM2007",0,0,0,0,1,0,0,"WC",120.13,0.15,0.0011,0.0021,0.1094,0.001,0.8864,"WC",120.13,0.15
"8","AAM2008",0,0,0,0.003,0.996,0,0,"WC",120.13,0.15,0.0037,0.0176,0.1532,0.0034,0.8221,"WC",120.13,0.15
"9","AAM2009",0.001,0,0,0,0.999,0,0,"WC",120.13,0.15,0.0015,0.0022,0.3521,0.001,0.6432,"WC",120.13,0.15
"10","AAM2010",0,0,0,0,0.994,0,0.005,"WC",120.13,0.15,0.0031,0.0054,0.426,0.0018,0.5637,"WC",120.13,0.15
"11","AAM2011",0,0,0,0.001,0.931,0,0,"WC",120.13,0.15,0.001,0.0057,0.7148,0.001,0.2775,"WC",120.13,0.15
"12","AAM2012",0,0,0,0,0.988,0,0.012,"WC",120.13,0.15,0.016,0.0022,0.2542,0.0043,0.7233,"WC",120.13,0.15
"13","AAM2013",0.208,0,0,0,0.789,0,0.003,"WC",119.6556,-0.023,0.0024,0.0025,0.6344,0.0019,0.3588,"WC",119.6556,-0.023
"14","AAM2014",0,0,0,0,0.995,0,0.002,"WC",119.6556,-0.023,0.0047,0.0012,0.6015,0.002,0.3906,"WC",119.6556,-0.023
"15","AAM2015",0,0,0,0,0.999,0,0,"WC",119.6556,-0.023,0.0047,0.005,0.373,0.001,0.6163,"WC",119.6556,-0.023
"16","AAM2016",1,0,0,0,0,0,0,"NW",121.25,1.25,0.0036,0.001,0.965,0.0014,0.029,"NW",121.25,1.25
"17","AAM2017",0.997,0,0,0,0.003,0,0,"NW",121.25,1.25,0.0016,0.0019,0.9435,0.0016,0.0514,"NW",121.25,1.25
"18","AAM2018",1,0,0,0,0,0,0,"NW",121.27,1.23,0.0036,0.002,0.9646,0.001,0.0288,"NW",121.27,1.23
"19","AAM2019",1,0,0,0,0,0,0,"NW",121.27,1.23,0.0028,0.0024,0.9763,0.001,0.0175,"NW",121.27,1.23
